state,domain,reporting_program,measure_name,measure_abbreviation,measure_description,ffy,population,methodology,state_rate,number_of_states_reporting,median,25th_percentile,75th_percentile,notes,source,location,expansion_status
District of Columbia,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid & Dual Eligibles,Hybrid,85.4,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid & Dual Eligibles,Administrative,23.9,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2014,Dual Eligibles,Hybrid,78.7,26,69.3,7.7,81.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid & Dual Eligibles,Hybrid,77.0,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Dual Eligibles,Administrative,75.9,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid & Dual Eligibles,Hybrid,65.8,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
District of Columbia,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid & Dual Eligibles,Hybrid,43.9,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)",1
Kentucky,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2014,Medicaid & Dual Eligibles,Hybrid,77.4,26,69.3,7.7,81.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)",2
Louisiana,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid & CHIP,Administrative,64.8,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)",3
Louisiana,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid & CHIP,Administrative,45.0,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)",3
