state,domain,reporting_program,measure_name,measure_abbreviation,measure_description,ffy,population,methodology,state_rate,number_of_states_reporting,median,25th_percentile,75th_percentile,notes,source,expansion_status
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Administrative,39.5,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Hybrid,55.9,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Texas,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Administrative,55.0,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
New York,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,76.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,37.2,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Texas,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Hybrid,78.1,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
California,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,66.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",1
Minnesota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,49.9,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",1
Arkansas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,71.1,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Missouri,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & CHIP,Administrative,17.2,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
New York,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid,Administrative,36.5,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Delaware,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & Dual Eligibles,Administrative,16.1,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Kansas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,36.8,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,34.8,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
