Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
Maternity Care Program,Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1915(b),09/01/1988 12:00:00 AM,08/30/2019 12:00:00 AM,,,,Mandatory,Mandatory,Mandatory,,,Mandatory,Voluntary,,Pre-assigned,,,,,,,,X,,X,X,X,,,,X,,,X,,,,,,,,,,,Freestanding birth centers,No,Yes,No,,,,,,,,Maternity Care Plan,"This is only a maternity care program. It is a PAHP only program. Maternity services are provided FFS, not under 1915(b) authority in the above excluded counties.",AL
PACE,Program of All-inclusive Care for the Elderly (PACE),Mobile and Baldwin County,PACE,01/01/2012 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,"Open enrollment begins the first of every month, and disenrollment is effective the last day of the chosen month.",X,X,X,X,X,X,X,,X,X,X,,,X,,X,,X,X,X,,X,,X,X,X,,Other medically necessary services as determined by the interdiscplinary team,No,No,No,,,,,,,,Mercy Life of Alabama,,AL
Patient 1st,Primary Care Case Management (PCCM),Statewide,1932(a),10/01/2004 12:00:00 AM,,,,,Mandatory,Mandatory,Mandatory,,,Voluntary,Voluntary,Exempt,N/A,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,Patient 1st,,AL
Health Homes,Primary Care Case Management (PCCM),Statewide,1945 Health Homes,04/01/2015 12:00:00 AM,,,,,Mandatory,Mandatory,Mandatory,,,Mandatory,Voluntary,Exempt,N/A,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,Health Homes,"To be eligible for the Health Home, a recipient must be enrolled in Patient 1st and their assigned PMP must also be participating in the Health Home.",AL
Arizona Health Care Cost Containment System,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),07/13/1982 12:00:00 AM,09/30/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,Other,,"The enrollment choice period for members who are auto-assigned is 90 days. After the initial enrollment choice period, members receive an annual enrollment choice period of 60 days.",X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,Freestanding birth centers & podiatry,Yes,Yes,No,"Please note that HEDIS and CAHPS are run by the EQRO not the MCO. CAHPS is completed by our EQRO, but AHCCCS does not request that every population be evaluated every year.",Health Services Advisory Group,X,X,X,X,X,United Healthcare Plan; Care1st Health Plan; DCS/CMDP; DES/Division of Developmental Disabilities (MLTSS); United Healthcare Plan (MLTSS); Health Choice Arizona; Health Net Access; Mercy Care Plan; Mercy Care Plan (MLTSS); University Family Care; Mercy Maricopa Integrated Care; Cenpatico Integrated Care; Health Choice Integrated Care; Banner University Family Care (MLTSS),"Enrollment (voluntary with auto-enrollment) – members have choice, and if they do not choose then there are rules for where they are auto-enrolled depending on the program. If an individual does not choose their plan prior to eligibility being determined, they are auto-enrolled in a health plan and given 30 days to choose a different plan. Most members in these groups are mandatorily enrolled, but American Indian/Alaska Native members of these populations are voluntarily enrolled.",AZ
Connect Care,Primary Care Case Management (PCCM),Statewide,1932(a),01/01/2014 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,,,,,Exempt,Mandatory,N/A,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,Yes,No,,,,,,,,Multiple primary care providers,,AR
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,04/01/2016 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Exempt,,N/A,,,,,,,X,X,,,X,X,,,,X,,,,X,,X,,,,,,,,Capitated comprehensive medical and social services in adult day health centers and in-home and referral services according to the participants needs.,No,No,Yes,Health Management Plan (CMS),,,,,,,Complete Health; Total Life Healthcare,,AR
Provider-Led Arkansas Shared Savings Entity (PASSE) Program,Primary Care Case Management Entity (PCCM Entity),Statewide,1915(b),02/01/2018 12:00:00 AM,03/01/2019 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Exempt,Mandatory,Pre-assigned,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,Summit Community Care; Arkansas Total Care; Empower Healthcare Solutions; Forevercare,"The PASSE is designed to address the needs of certain Medicaid beneficiaries who have complex behavioral health and intellectual and developmental disabilities service needs. Under this model, providers of specialty and medical services will enter into new partnerships with each other and an experienced organization that will perform the administrative functions similar to insurance companies, such as claims processing, member enrollment, and grievances and appeals. Providers will retain majority ownership (at least 51%) of each PASSE. Under Act 775, the governing body of each PASSE must include several types of providers including a Developmental Disabilities Services specialty provider, a Behavioral Health Services specialty provider, a hospital, a physician, and a pharmacist. There are 2 phases of implementation. Phase I, which began on February 1, 2018, is when each PASSE is responsible for providing care coordination to every individual that has been assigned to them. Phase II, which began March 1, 2019, is when the PASSE entered into a full-risk contract as an MCO.",AR
Arkansas Dental Managed Care,Dental only (PAHP),Statewide,1915(b),01/01/2018 12:00:00 AM,12/31/2022 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,Pre-assigned,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,Yes,Yes,Yes,URAC,,,,,,X,Delta Dental of Arkansas; Managed Care of North America (MCNA) Dental,"In early December 2017, all Arkansas Medicaid beneficiaries who are eligible for dental benefits were randomly and evenly assigned to one of the two dental managed care plans. Members were able to access plan providers starting January 1, 2018 for covered dental services. If members wish to switch plans, they have 90 days to do so. The vendors will serve all members who receive dental services through Medicaid except for those residing in Human Development Centers, individuals enrolled in the Program for All Inclusive Care for the Elderly (PACE), members who reside in a nursing home setting, and individuals who are eligible for Medicaid only after incurring medical expenses that cause them to “spend down” to Medicaid eligibility levels.",AR
Arkansas Non-Emergency Medical Transport (NET),Non-Emergency Medical Transportation,Statewide,"1915(b),1902(a)(70) NEMT",03/01/1998 12:00:00 AM,09/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Exempt,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Southeasttrans; Central Arkansas Development Council; Area Agency on Aging of Western Arkansas; Mid-Delta; Area Agency on Aging of Southeast Arkansas,,AR
